,limit_bal,sex,age,pay_july,pay_amt_sept,pay_amt_aug,pay_amt_july,pay_amt_june,pay_amt_may,pay_amt_april,default,bill_avg,pay_amt_sept_cap,pay_amt_aug_cap,pay_amt_july_cap,pay_amt_june_cap,pay_amt_may_cap,pay_amt_april_cap,single,marriage_other,edu_university,edu_highschool,edu_other
23,300000,2,40,0,1139,1322,1000,2000,1000,1000,0,7882.333333333333,1139,1322,1000,2000,1000,1000,0,0,1,0,0
24,150000,2,43,0,123,0,363,0,123,123,0,187.5,123,0,363,0,123,123,0,0,0,0,0
25,50000,2,22,0,1896,1829,1924,1308,1480,1171,1,44954.333333333336,1896,1829,1924,1308,1480,1171,1,0,0,1,0
26,230000,2,27,0,5097,1060,1000,4696,7062,10898,0,6849.166666666667,5097,1060,1000,4696,7062,10898,1,0,0,0,0
27,20000,1,23,0,12483,4098,14899,10170,427,0,0,10499.666666666666,12483,4098,14899,10170,427,0,1,0,0,0,0
28,140000,1,40,0,4310,5913,4426,4580,4770,4767,0,129808.16666666667,4310,5913,4426,4580,4770,4767,0,0,0,0,0
29,50000,2,22,1,0,3509,0,1302,1191,1492,0,38466.0,0,3509,0,1302,1191,1492,1,0,0,0,0
30,450000,1,38,0,7964,57425,15257,7283,13959,11139,0,18661.833333333332,7964,57425,15257,7283,13959,11139,0,0,0,0,0
31,350000,2,39,0,648,11198,4057,4523,9407,3948,0,5582.0,648,11198,4057,4523,9407,3948,1,0,0,0,0
32,50000,2,26,0,316,316,316,316,316,316,0,456.0,316,316,316,316,316,316,1,0,0,0,0
33,200000,1,43,1,14200,0,7000,7000,6500,11000,0,147945.5,14200,0,7000,7000,6500,11000,0,0,0,0,0
34,210000,1,40,1,11760,0,4546,9524,2,4756,0,137590.66666666666,11760,0,4546,9524,2,4756,0,0,0,0,0
35,110000,2,42,0,2000,2000,2500,2500,2000,3000,0,50203.0,2000,2000,2500,2500,2000,3000,0,0,0,0,0
36,130000,2,30,0,1492,1310,1310,2046,574,1995,1,1537.5,1492,1310,1310,2046,574,1995,1,0,0,0,0
37,70000,2,24,0,1954,28000,1250,1496,29251,1000,1,20450.0,1954,28000,1250,1496,29251,1000,1,0,1,0,0
38,80000,2,26,0,2000,3100,1000,0,1000,2000,0,10565.166666666666,2000,3100,1000,0,1000,2000,0,0,0,1,0
39,140000,1,27,0,10000,10000,3393,3260,5000,3000,0,77156.83333333333,10000,10000,3393,3260,5000,3000,1,0,1,0,0
40,310000,2,53,0,2635,0,1190,7909,193,3189,0,2163.8333333333335,2635,0,1190,7909,193,3189,0,0,0,1,0
41,180000,2,37,0,10000,5000,15000,5000,2000,5000,0,37665.166666666664,10000,5000,15000,5000,2000,5000,1,0,0,0,0
42,100000,2,29,0,0,2500,5864,0,2000,2000,1,68281.66666666667,0,2500,5864,0,2000,2000,1,0,0,0,0
43,280000,1,41,0,3683,9059,5787,11985,40370,8314,0,14548.333333333334,3683,9059,5787,11985,40370,8314,1,0,0,0,0
44,20000,2,24,0,0,0,0,222,6345,2000,0,1094.5,0,0,0,222,6345,2000,1,0,1,0,0
45,50000,1,51,0,1785,1973,1311,683,707,735,1,30508.666666666668,1785,1973,1311,683,707,735,0,0,0,1,0
46,10000,1,38,0,1140,1149,328,340,393,192,1,8838.166666666666,1140,1149,328,340,393,192,1,0,1,0,0
47,30000,1,46,0,0,1234,600,532,750,825,1,14200.166666666666,0,1234,600,532,750,825,1,0,0,1,0
48,20000,2,33,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0
49,120000,2,27,0,390,390,780,0,930,300,0,470.0,390,390,780,0,930,300,0,0,0,1,0
50,80000,2,32,0,6000,6011,5783,2257,6000,0,0,5609.5,6000,6011,5783,2257,6000,0,1,0,0,0,0
51,210000,2,48,0,0,0,486,836,0,0,1,359.6666666666667,0,0,486,836,0,0,1,0,0,0,0
52,70000,2,22,0,2501,3001,2608,1777,1792,1793,1,62174.333333333336,2501,3001,2608,1777,1792,1793,1,0,1,0,0
53,390000,2,43,1,4514,0,1528,0,1000,3574,1,46204.5,4514,0,1528,0,1000,3574,0,0,1,0,0
54,60000,2,34,1,0,0,0,0,1200,0,1,643.1666666666666,0,0,0,0,1200,0,0,0,1,0,0
55,150000,2,53,0,1200,1500,3795,80000,1700,0,0,40153.833333333336,1200,1500,3795,80000,1700,0,0,0,0,1,0
56,140000,1,47,0,500,792,488,0,1000,0,1,657.3333333333334,500,792,488,0,1000,0,0,0,0,1,0
57,360000,2,47,0,0,0,0,0,0,0,1,416.6666666666667,0,0,0,0,0,0,0,0,0,0,0
58,20000,2,58,0,1315,1254,596,592,594,553,0,17959.166666666668,1315,1254,596,592,594,553,0,0,1,0,0
59,150000,2,40,0,5215,4090,51893,2000,3000,2202,0,28464.666666666668,5215,4090,51893,2000,3000,2202,0,0,1,0,0
60,230000,2,31,0,0,196,533,1238,957,1187,0,487.3333333333333,0,196,533,1238,957,1187,1,0,0,0,0
61,30000,2,23,0,2011,5000,868,1092,3000,1500,0,26586.833333333332,2011,5000,868,1092,3000,1500,1,0,1,0,0
62,160000,1,59,0,5000,4214,4014,2500,3000,3000,0,77865.33333333333,5000,4214,4014,2500,3000,3000,1,0,1,0,0
63,80000,1,54,0,5030,2698,2172,376,40619,25311,1,79350.0,5030,2698,2172,376,40619,25311,0,0,1,0,0
64,200000,1,37,0,30000,30000,4148,15100,8029,15004,0,140787.66666666666,30000,30000,4148,15100,8029,15004,0,0,1,0,0
65,210000,2,46,0,6149,4100,4547,2500,3000,2500,0,104878.66666666667,6149,4100,4547,2500,3000,2500,0,0,1,0,0
66,500000,1,50,0,16770,13989,33232,29695,32838,38770,0,231864.83333333334,16770,13989,33232,29695,32838,38770,0,0,1,0,0
67,30000,2,48,0,0,3200,5000,1000,1000,1000,1,21665.666666666668,0,3200,5000,1000,1000,1000,1,0,0,1,0
68,80000,2,25,0,2657,1800,1799,1616,1697,1737,0,52371.833333333336,2657,1800,1799,1616,1697,1737,1,0,0,0,0
69,130000,2,27,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0
70,250000,1,33,1,0,0,5000,3088,3000,0,1,1878.5,0,0,5000,3088,3000,0,1,0,0,0,0
71,50000,2,23,0,1605,1603,3000,0,1000,1000,0,26679.166666666668,1605,1603,3000,0,1000,1000,1,0,1,0,0
72,200000,1,40,1,5133,0,5857,202076,6726,5346,0,237831.66666666666,5133,0,5857,202076,6726,5346,0,0,1,0,0
73,320000,1,28,0,2000,1000,1633,2000,0,3000,0,2297.8333333333335,2000,1000,1633,2000,0,3000,1,0,0,0,0
74,400000,1,36,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0
75,200000,1,40,0,8124,8339,5004,2961,2579,2761,0,133590.33333333334,8124,8339,5004,2961,2579,2761,0,0,0,1,0
76,180000,1,38,0,6700,6000,7000,6900,0,0,1,122914.0,6700,6000,7000,6900,0,0,1,0,0,0,0
77,220000,2,30,0,0,1300,1281,1000,103860,4346,1,24151.833333333332,0,1300,1281,1000,103860,4346,1,0,1,0,0
78,100000,1,49,0,2500,6100,0,5500,3000,0,1,68529.66666666667,2500,6100,0,5500,3000,0,0,0,0,0,0
79,80000,2,41,0,3500,2000,1400,1600,400,1000,0,42891.666666666664,3500,2000,1400,1600,400,1000,0,0,1,0,0
80,240000,2,38,0,30073,24315,3724,28347,11280,31266,0,22081.833333333332,30073,24315,3724,28347,11280,31266,1,0,1,0,0
81,50000,2,49,0,2005,2000,1019,3007,3008,5015,0,8731.166666666666,2005,2000,1019,3007,3008,5015,1,0,1,0,0
82,50000,2,31,0,1600,1600,1000,900,1000,1000,0,20230.833333333332,1600,1600,1000,900,1000,1000,1,0,1,0,0
83,30000,2,38,0,2000,1500,2000,1500,0,1200,0,23075.166666666668,2000,1500,2000,1500,0,1200,0,0,1,0,0
84,500000,2,54,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0
85,200000,1,33,0,390,20718,390,390,390,540,1,6720.333333333333,390,20718,390,390,390,540,1,0,1,0,0
86,200000,2,48,0,5844,3694,37177,47376,1292,46626,0,35720.333333333336,5844,3694,37177,47376,1292,46626,0,0,0,1,0
87,660000,2,33,0,13393,12113,12004,12008,11503,12019,0,369850.8333333333,13393,12113,12004,12008,11503,12019,1,0,1,0,0
88,110000,2,29,0,3000,2000,2049,2000,1000,1000,0,57178.833333333336,3000,2000,2049,2000,1000,1000,1,0,0,0,0
89,70000,2,51,1,2000,1900,1900,1800,1900,1900,0,46198.5,2000,1900,1900,1800,1900,1900,0,0,1,0,0
90,230000,2,28,0,68000,7064,4106,5075,1000,4080,0,36775.5,68000,7064,4106,5075,1000,4080,0,0,1,0,0
91,200000,1,36,0,0,1502,2000,2000,1513,1504,0,14964.666666666666,0,1502,2000,2000,1513,1504,0,0,0,0,0
92,260000,2,37,0,1316,2609,1017,1012,959,935,0,1789.0,1316,2609,1017,1012,959,935,1,0,0,0,0
93,180000,1,27,0,2000,1700,300,0,21000,1000,1,10692.0,2000,1700,300,0,21000,1000,0,0,0,1,0
94,230000,2,42,0,326,326,1458,952,0,326,0,644.0,326,326,1458,952,0,326,1,0,0,0,0
95,90000,1,48,0,0,0,0,0,0,0,1,11983.333333333334,0,0,0,0,0,0,0,0,1,0,0
96,500000,1,31,0,750,2676,1,0,0,0,0,4953.666666666667,750,2676,1,0,0,0,1,0,0,0,0
97,120000,2,55,0,3000,3000,2655,2664,3000,3000,0,81625.66666666667,3000,3000,2655,2664,3000,3000,1,0,0,1,0
98,120000,2,54,0,3072,3074,2887,2774,2871,3000,0,84163.33333333333,3072,3074,2887,2774,2871,3000,0,0,1,0,0
99,70000,2,36,0,4483,12496,3268,3000,3000,2000,0,44292.166666666664,4483,12496,3268,3000,3000,2000,1,0,1,0,0
100,550000,1,33,0,15,10014,20000,10000,10000,7548,0,4752.333333333333,15,10014,20000,10000,10000,7548,1,0,1,0,0
101,300000,1,45,0,244500,8613,8000,11000,8093,6399,1,215025.5,200000,8613,8000,11000,8093,6399,0,0,1,0,0
102,180000,1,38,1,12100,5000,4200,3000,5000,2000,1,119622.5,12100,5000,4200,3000,5000,2000,1,0,0,0,0
103,160000,2,28,1,7000,5000,0,3770,4000,4000,0,118430.16666666667,7000,5000,0,3770,4000,4000,0,0,0,1,0
104,100000,2,36,0,3013,4031,3012,2006,3121,5781,0,12522.0,3013,4031,3012,2006,3121,5781,0,0,1,0,0
105,20000,1,25,1,1700,0,1800,0,1000,900,0,20139.0,1700,0,1800,0,1000,900,1,0,1,0,0
106,200000,1,44,0,3679,21666,4971,2933,16759,5010,0,8906.833333333334,3679,21666,4971,2933,16759,5010,0,0,1,0,0
107,60000,2,47,0,1392,1000,203,186,347,17971,1,20263.166666666668,1392,1000,203,186,347,17971,0,0,0,1,0
108,200000,2,55,0,3796,4262,2645,5834,2771,2945,1,92685.16666666667,3796,4262,2645,5834,2771,2945,0,0,0,0,0
109,10000,2,22,0,1275,2500,1000,0,0,0,0,4811.5,1275,2500,1000,0,0,0,1,0,0,0,0
110,60000,1,39,0,5140,3008,3000,6000,2000,3000,0,22322.333333333332,5140,3008,3000,6000,2000,3000,0,0,0,1,0
111,10000,1,21,0,1305,1000,200,196,0,0,1,8104.666666666667,1305,1000,200,196,0,0,1,0,1,0,0
112,120000,2,38,1,3000,3000,2600,2500,2000,3000,1,66622.83333333333,3000,3000,2600,2500,2000,3000,0,0,1,0,0
113,350000,1,34,0,7331,10000,5000,10000,5000,5000,0,94609.0,7331,10000,5000,10000,5000,5000,1,0,0,0,0
114,300000,2,30,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
115,480000,1,49,0,17124,14706,15377,10481,11003,11303,0,383870.0,17124,14706,15377,10481,11003,11303,1,0,0,0,0
116,20000,1,22,0,2000,2000,1278,1000,1000,764,0,18539.833333333332,2000,2000,1278,1000,1000,764,1,0,0,0,0
117,80000,1,52,0,3500,2202,1500,1500,1500,1500,0,49367.166666666664,3500,2202,1500,1500,1500,1500,0,0,1,0,0
118,20000,2,38,1,0,0,0,448,380,345,0,18165.0,0,0,0,448,380,345,1,0,1,0,0
119,320000,1,45,0,21903,10832,9244,2325,14568,29249,0,15994.0,21903,10832,9244,2325,14568,29249,0,0,0,0,0
120,210000,2,24,0,5800,3700,3505,3400,3769,3229,0,103120.33333333333,5800,3700,3505,3400,3769,3229,1,0,1,0,0
121,260000,2,40,0,360,398,208,792,2788,3675,0,781.6666666666666,360,398,208,792,2788,3675,0,0,1,0,0
122,120000,2,32,0,2000,1551,2000,1500,457,7000,1,16934.166666666668,2000,1551,2000,1500,457,7000,1,0,1,0,0
123,250000,2,45,0,12716,12158,8777,1503,96834,2204,0,22708.833333333332,12716,12158,8777,1503,96834,2204,0,0,1,0,0
124,270000,1,51,0,3500,4000,1000,1000,63000,3000,0,73112.0,3500,4000,1000,1000,63000,3000,1,0,0,1,0
125,310000,1,34,1,3860,0,2000,1895,2000,2000,0,74237.16666666667,3860,0,2000,1895,2000,2000,1,0,1,0,0
126,30000,2,45,0,1930,1930,2072,4072,0,0,0,1667.3333333333333,1930,1930,2072,4072,0,0,0,0,0,1,0
127,120000,2,33,0,5000,5000,5000,5000,3000,3000,0,55929.333333333336,5000,5000,5000,5000,3000,3000,0,0,1,0,0
128,190000,2,43,0,4873,3472,27403,0,148120,6546,0,30921.833333333332,4873,3472,27403,0,148120,6546,0,0,0,0,0
129,20000,2,56,0,1188,1201,442,466,1500,421,0,12886.333333333334,1188,1201,442,466,1500,421,0,0,0,1,0
130,460000,1,28,0,55071,1263,3934,1702,22238,513,0,22436.166666666668,55071,1263,3934,1702,22238,513,1,0,0,0,1
131,180000,1,38,0,0,2100,200,0,0,0,1,12838.5,0,2100,200,0,0,0,1,0,1,0,0
132,70000,2,40,0,2924,1924,1726,1763,2136,1384,0,56239.166666666664,2924,1924,1726,1763,2136,1384,0,0,0,1,0
133,60000,1,24,1,5000,0,198,1500,1300,2000,1,51976.833333333336,5000,0,198,1500,1300,2000,1,0,1,0,0
134,90000,1,27,0,4983,3396,1464,750,3091,5943,0,2843.1666666666665,4983,3396,1464,750,3091,5943,1,0,0,0,0
135,70000,2,24,0,2000,5000,1900,0,4600,0,0,51409.666666666664,2000,5000,1900,0,4600,0,1,0,0,0,0
136,290000,1,39,0,10000,10000,8165,9000,10000,7010,0,222008.16666666666,10000,10000,8165,9000,10000,7010,0,0,1,0,0
137,530000,2,50,0,10000,10000,10000,7000,7000,5000,0,208974.16666666666,10000,10000,10000,7000,7000,5000,0,0,0,1,0
138,50000,2,41,0,2550,2227,339,500,600,500,0,29513.666666666668,2550,2227,339,500,600,500,0,0,0,1,0
139,310000,2,36,0,3016,3031,10091,1429,1500,10207,0,67291.5,3016,3031,10091,1429,1500,10207,0,0,0,0,0
140,160000,2,25,1,7500,5600,5822,14,5700,5800,1,160170.16666666666,7500,5600,5822,14,5700,5800,1,0,1,0,0
141,350000,2,28,0,7555,36698,9124,13074,5107,18830,0,12504.0,7555,36698,9124,13074,5107,18830,1,0,1,0,0
142,160000,1,61,0,390,390,780,0,390,390,0,455.0,390,390,780,0,390,390,0,0,0,1,0
143,50000,1,28,0,2000,1500,442,300,238,500,1,28122.0,2000,1500,442,300,238,500,1,0,1,0,0
144,80000,1,27,1,0,6000,2200,0,3500,3500,1,55630.666666666664,0,6000,2200,0,3500,3500,1,0,1,0,0
145,80000,2,31,0,8414,1775,4284,7202,2014,5218,0,4903.666666666667,8414,1775,4284,7202,2014,5218,1,0,0,0,0
146,500000,1,30,0,11393,25742,18076,184637,841,37384,0,67161.83333333333,11393,25742,18076,184637,841,37384,1,0,0,0,0
147,200000,2,40,0,3000,6032,0,3000,3000,3000,0,38575.0,3000,6032,0,3000,3000,3000,0,0,0,1,0
148,260000,2,53,0,30000,10087,6030,5001,10002,148,0,166002.5,30000,10087,6030,5001,10002,148,1,0,0,0,0
149,210000,1,32,0,3664,3900,2868,3000,2000,2000,1,79082.33333333333,3664,3900,2868,3000,2000,2000,1,0,1,0,0
150,220000,2,42,1,0,0,0,0,0,0,1,2500.0,0,0,0,0,0,0,0,0,0,0,0
151,180000,1,33,0,20135,12099,96562,49000,140000,6000,0,113046.0,20135,12099,96562,49000,140000,6000,0,0,1,0,0
152,20000,2,27,0,0,0,0,0,0,3187,1,789.0,0,0,0,0,0,3187,1,0,0,0,0
153,200000,2,28,0,5000,2000,89000,6500,91,1504,0,63551.666666666664,5000,2000,89000,6500,91,1504,0,0,1,0,0
154,110000,1,32,0,2941,3026,3076,2638,2728,2742,0,67845.5,2941,3026,3076,2638,2728,2742,1,0,1,0,0
155,450000,2,37,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
156,50000,2,23,0,2000,2102,255,3000,191,0,0,27742.666666666668,2000,2102,255,3000,191,0,1,0,1,0,0
157,250000,1,40,0,7000,3000,2000,3500,5000,3000,1,77238.83333333333,7000,3000,2000,3500,5000,3000,0,0,1,0,0
158,150000,2,42,0,2000,0,0,0,217,2972,0,32053.833333333332,2000,0,0,0,217,2972,1,0,1,0,0
159,240000,1,47,1,12400,6000,0,5806,2198,1207,0,116120.66666666667,12400,6000,0,5806,2198,1207,0,0,1,0,0
160,20000,2,36,0,1500,1600,1500,1500,800,0,0,15026.5,1500,1600,1500,1500,800,0,1,0,1,0,0
161,40000,2,38,1,4600,1200,1400,0,3069,0,1,39041.166666666664,4600,1200,1400,0,3069,0,0,0,1,0,0
162,180000,2,33,0,10000,10000,5000,3000,10000,30000,0,39588.166666666664,10000,10000,5000,3000,10000,30000,1,0,0,0,0
163,30000,1,35,0,2687,8765,3390,2040,0,0,0,4103.833333333333,2687,8765,3390,2040,0,0,0,0,1,0,0
164,150000,1,32,1,6000,10275,6000,6000,6100,0,0,142192.5,6000,10275,6000,6000,6100,0,1,0,1,0,0
165,360000,2,31,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0
166,100000,2,39,0,1100,3500,0,1000,0,5000,1,6128.0,1100,3500,0,1000,0,5000,0,0,0,0,0
167,340000,2,31,0,5000,5000,3000,2000,2000,3000,0,38454.0,5000,5000,3000,2000,2000,3000,0,0,1,0,0
168,230000,2,30,1,9000,10000,8500,8500,8500,32000,1,222621.16666666666,9000,10000,8500,8500,8500,32000,1,0,0,0,0
169,20000,1,45,0,1000,1000,1000,600,0,0,0,23600.0,1000,1000,1000,600,0,0,0,0,0,1,0
170,70000,1,28,1,2000,1500,2000,2500,1500,1200,0,27499.333333333332,2000,1500,2000,2500,1500,1200,1,0,1,0,0
171,150000,2,33,0,6549,1096,5962,1524,1795,1525,0,9531.0,6549,1096,5962,1524,1795,1525,0,0,0,0,0
172,160000,2,40,0,3685,0,0,0,660,660,0,724.1666666666666,3685,0,0,0,660,660,0,0,1,0,0
173,40000,2,24,0,2000,2000,3100,0,1500,1500,1,40123.333333333336,2000,2000,3100,0,1500,1500,1,0,0,0,0
174,130000,2,24,0,0,3372,0,1001,939,1013,0,879.0,0,3372,0,1001,939,1013,1,0,1,0,0
175,210000,1,42,0,1315,6867,2271,1054,1197,701,0,2396.6666666666665,1315,6867,2271,1054,1197,701,0,0,0,0,0
176,200000,2,29,0,6532,0,1762,6,1257,8308,0,15179.666666666666,6532,0,1762,6,1257,8308,1,0,0,0,0
177,140000,2,29,0,3474,4000,4000,3500,8000,5000,0,100156.0,3474,4000,4000,3500,8000,5000,1,0,0,0,0
178,300000,2,47,0,7055,5536,5052,1794,5000,2000,0,144582.0,7055,5536,5052,1794,5000,2000,1,0,1,0,0
179,70000,2,24,0,0,0,0,0,26529,2000,0,5351.5,0,0,0,0,26529,2000,1,0,1,0,0
180,160000,1,28,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0
181,160000,2,34,0,1264,2000,1000,1000,116425,4500,0,40984.833333333336,1264,2000,1000,1000,116425,4500,1,0,1,0,0
182,50000,1,46,0,1600,3106,0,0,1370,3930,0,1724.3333333333333,1600,3106,0,0,1370,3930,0,0,1,0,0
183,20000,1,23,0,1193,1207,2402,2399,5000,0,0,14268.0,1193,1207,2402,2399,5000,0,1,0,1,0,0
184,150000,1,37,1,7400,0,4800,1800,0,2100,1,82537.16666666667,7400,0,4800,1800,0,2100,0,0,1,0,0
185,300000,2,44,0,576,2684,2319,1905,257,3743,0,2610.8333333333335,576,2684,2319,1905,257,3743,0,0,1,0,0
186,170000,2,30,1,6500,0,13000,5500,1000,7000,0,163978.5,6500,0,13000,5500,1000,7000,0,0,0,0,0
187,30000,2,56,1,1800,1300,2400,0,1200,2500,1,27952.166666666668,1800,1300,2400,0,1200,2500,0,0,1,0,0
188,100000,2,27,0,2400,1776,3800,0,2000,1800,0,47125.5,2400,1776,3800,0,2000,1800,1,0,1,0,0
189,270000,1,42,0,3923,8537,5056,7507,24170,3840,0,9283.0,3923,8537,5056,7507,24170,3840,0,0,0,0,0
190,20000,1,23,0,1000,1273,1000,631,650,803,0,16621.833333333332,1000,1273,1000,631,650,803,1,0,0,0,0
191,150000,1,37,0,1477,1489,2000,2000,1169,1194,1,30176.0,1477,1489,2000,2000,1169,1194,0,0,1,0,0
192,20000,2,46,0,0,390,0,0,150,390,0,220.0,0,390,0,0,150,390,0,1,1,0,0
193,440000,2,53,0,13007,9102,10003,5000,5000,6000,0,247951.83333333334,13007,9102,10003,5000,5000,6000,0,0,0,0,0
194,160000,2,29,0,0,0,5000,5000,1500,13000,0,1638.6666666666667,0,0,5000,5000,1500,13000,1,0,0,0,0
195,60000,2,40,0,4000,1010,1569,5580,2211,0,1,15339.0,4000,1010,1569,5580,2211,0,0,0,1,0,0
196,200000,2,25,0,8000,4500,4532,5451,5000,4500,0,150762.33333333334,8000,4500,4532,5451,5000,4500,1,0,1,0,0
197,50000,2,57,0,1690,3780,1468,1468,1644,1363,0,2335.6666666666665,1690,3780,1468,1468,1644,1363,0,0,0,1,0
198,360000,2,46,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
199,160000,1,53,0,1800,1800,1900,2000,1900,2000,0,74519.83333333333,1800,1800,1900,2000,1900,2000,0,0,0,0,0
200,240000,1,37,1,15000,0,2000,0,1256,65935,0,19710.166666666668,15000,0,2000,0,1256,65935,1,0,0,0,0
201,260000,2,44,0,9428,6729,5022,4447,5699,5498,1,177762.33333333334,9428,6729,5022,4447,5699,5498,0,0,0,1,0
202,20000,1,34,1,2800,0,800,800,1400,1000,1,14766.333333333334,2800,0,800,800,1400,1000,0,0,1,0,0
203,190000,1,34,1,14500,8000,0,6100,13100,0,1,166978.66666666666,14500,8000,0,6100,13100,0,1,0,0,0,0
204,50000,2,27,0,3000,2000,2000,2000,2000,840,0,17945.5,3000,2000,2000,2000,2000,840,1,0,0,0,0
205,30000,1,38,1,2000,0,0,11959,1200,0,0,15315.166666666666,2000,0,0,11959,1200,0,0,0,1,0,0
206,200000,2,44,0,390,390,390,390,390,540,0,390.0,390,390,390,390,390,540,0,0,0,1,0
207,160000,2,39,0,0,0,0,0,0,0,0,-18.0,0,0,0,0,0,0,0,0,0,0,1
208,20000,1,25,1,1500,0,1500,0,2000,1500,0,16700.0,1500,0,1500,0,2000,1500,1,0,1,0,0
209,50000,2,28,0,1500,1300,2390,2200,0,3283,0,17410.833333333332,1500,1300,2390,2200,0,3283,1,0,0,0,0
210,240000,1,47,0,0,0,0,0,0,0,0,955.1666666666666,0,0,0,0,0,0,0,0,0,0,0
211,110000,2,42,0,5836,5780,5000,4206,5000,5000,0,117566.5,5836,5780,5000,4206,5000,5000,0,0,0,1,0
212,350000,1,34,0,5900,3300,4089,3000,2400,2551,0,92287.33333333333,5900,3300,4089,3000,2400,2551,0,0,0,0,0
213,160000,2,37,0,0,0,1188,0,0,1935,0,529.3333333333334,0,0,1188,0,0,1935,0,0,1,0,0
214,420000,2,33,0,0,0,0,1643,3400,403500,0,5693.5,0,0,0,1643,3400,403500,1,0,0,0,0
215,210000,2,34,0,12660,5570,2285,0,0,0,0,4546.666666666667,12660,5570,2285,0,0,0,1,0,1,0,0
216,230000,2,29,0,4650,0,30866,2000,2000,2000,0,50552.0,4650,0,30866,2000,2000,2000,1,0,0,0,0
217,120000,1,38,0,1988,18000,1857,1723,2075,1500,0,50809.5,1988,18000,1857,1723,2075,1500,0,0,0,1,0
218,20000,2,21,0,0,289,0,0,0,0,1,48.166666666666664,0,289,0,0,0,0,0,0,1,0,0
219,80000,2,38,0,755,1800,0,985,0,399,1,808.8333333333334,755,1800,0,985,0,399,0,0,0,0,0
