,id,text,time_created
2,oi39VAwo4-KGm_gSkWPCsQ,"*This is a review of their gluten free bagels only.*

I have been on the hunt for the best gluten free bagel in NYC and this is NOT it. I was surprised to...",2020-02-23 08:23:03
0,Gpc2-sPCXlIQUrkfi4bpzw,"The best bagel spot in Cobble Hill! The staff is always super friendly and attentive. 

My go-to orders are: 1) whole wheat everything bagel with low fat...",2020-03-31 13:09:09
1,Gpc2-sPCXlIQUrkfi4bpzw,"Cash only. 

I now walk an additional 15 minutes to come here rather than our old usual bagel spot, and it is completely worth it because - 

1) The prices...",2019-12-10 05:44:30
2,Gpc2-sPCXlIQUrkfi4bpzw,"I was craving smoked salmon on a bagel, and I am a bit of slight snob in terms of where I wanted to get this. 
Looked up local reviews of bagel shops nearby...",2019-10-11 13:09:10
0,U43uuWwSyH95gXsUhejd4w,"I enjoyed going here when I worked in the neighborhood.  Their bagels are great.  Their sandwiches are huge.  The iced coffee was also very good.  

I was...",2020-02-16 16:35:35
1,U43uuWwSyH95gXsUhejd4w,Came here wanting a bagel for the morning run and my bf wanted a sandwich. I opted for the everything bagel and he got the Italian sandwich. Both were worth...,2020-01-23 13:16:05
2,U43uuWwSyH95gXsUhejd4w,This place has always been overpriced but I dealt. I'm not about to deal with crummy service too. I called in to see what bagels they had so I could tell me...,2019-12-27 07:17:18
0,pb_ryc8FYHpUPV56eV2Eyg,"Thanks god, they are still open in this period!
Support them
I wish all the staffs health",2020-03-31 07:09:13
1,pb_ryc8FYHpUPV56eV2Eyg,"Super cute and small bagel shop in Manhattan. Tons of new spreads to try ! We had hard time selecting our flavor , thanks god that the line was so long that...",2020-03-05 07:16:44
2,pb_ryc8FYHpUPV56eV2Eyg,"Very efficient neighborhood bagel shop. Right in Chelsea. Order in the back, get your ticket, and pay in front. Service is fast and the bagels come out hot....",2020-02-25 20:19:31
0,foO2N-TrdPBO-dFn6M35TA,"Went on a busy Sunday morning and despite the line, received excellent service and a delicious bagel. 

Ordered a lox bagel with the works (lox, onion,...",2020-02-28 08:36:53
1,foO2N-TrdPBO-dFn6M35TA,"Went here to grab a bagel during my last week in NYC. The place was pretty packed, but the line moves pretty efficiently.

I got an egg bagel with raisin...",2020-03-06 14:04:16
2,foO2N-TrdPBO-dFn6M35TA,"This is my absolute favorite bagel place in the city. As a student in the area, it's perfectly located near campus. Their bagels are big and inexpensive, in...",2020-02-27 05:59:50
0,u9zVZH0liQu9skIz1kGrMA,4.5 stars but rounding up. This is my go-to neighborhood hole-in-the-wall breakfast joint when I need something fast and easy. I'm right next to Russ &...,2020-02-06 16:47:46
1,u9zVZH0liQu9skIz1kGrMA,The best deal for a nova lox bagel I've gotten in Manhattan! The everything bagel was THICC and filled with a good portion of salmon and cream cheese. The...,2019-09-28 17:55:41
2,u9zVZH0liQu9skIz1kGrMA,"I was initially stopping by a different deli but due to the long line, I stopped by this shop right before my hair appointment. Though it may look like a...",2019-06-01 16:51:47
0,GLf8_rOnkszkGmPAiMzO9Q,"Great place, great food, and would love to visit again when I'm back in Brooklyn. 

This is what I want from local restaurants!!! SIMPLE IS GOOD. Went for a...",2020-01-15 10:44:53
1,GLf8_rOnkszkGmPAiMzO9Q,Update: They changed their bread! The ciabatta used to be so great...now it's chewy and too thick and tastes less...good. This is sad news. Taking a star...,2020-03-12 08:28:25
2,GLf8_rOnkszkGmPAiMzO9Q,"We ordered lunch from them, and waited and waited. Finally, we checked Yelp and discovered that the order was listed as ""delivered,"" even though it had...",2020-03-29 14:46:19
0,7eNqRj9iCdxcORVTxexvuw,"The best place to have breakfast, lunch and early dinner. It is clean, very beautiful, staff is very friendly and helpful. The food is phantastic....",2020-03-08 11:16:13
1,7eNqRj9iCdxcORVTxexvuw,"This place is so close to getting a 5. Let's start with the 'good':

1. Great bagels. My favorite is a BEC on an everything bagel add a hash brown. It...",2020-03-28 20:50:07
2,7eNqRj9iCdxcORVTxexvuw,"Love this place! The best bagel shop in the 3 mile radius. Bagels were very fluffy, fresh-tasting and not too chewy. The eggs were tender and lovely, with...",2020-03-04 12:53:32
0,Ys9iYSjuFDpZj7B1X07v5g,So  full disclosure I stumbled upon this bagel shop when I was looking for a rival store which happened to be closed. Omg these bagels are legit. They were...,2020-03-13 11:09:02
1,Ys9iYSjuFDpZj7B1X07v5g,"Good bagels, but not the best. Good service. Instaworthy!

I love bagels and of course had to get some when I came up to NYC. I got the classic and it was...",2020-03-26 15:04:25
2,Ys9iYSjuFDpZj7B1X07v5g,"100% this is a 5 star  to me. I loved the  rainbow  bagels. And the  birthday cake cream cheese made them even more incredible. 

My favorite part was...",2020-02-23 13:57:26
0,SCornvTSCMQ2SvWGq8Z_Mw,"Even on your most hung over day, you'll make the drink/Uber to get a bagel. It's a super oldie style deli the bagels are worth the wait. They have all...",2020-03-16 18:40:37
1,SCornvTSCMQ2SvWGq8Z_Mw,"I decided to treat myself to an order of bagels with lox cream cheese from Ess-A-Bagel using Goldbelly, primarily because this was one of my favorite bagel...",2020-02-21 15:26:39
2,SCornvTSCMQ2SvWGq8Z_Mw,"Sometimes I think New York bagels are overhyped (yes I said it, please don't fight me) but dang Ess-A-Bagel has the good stuff. Apparently everyone and...",2020-02-19 06:52:43
0,bb4TLfMexv3XPy864A09ug,"The food and service was great!!! There was a long line, but the cashier was super patient with us and still took the time to explain the different types of...",2020-04-06 18:33:46
1,bb4TLfMexv3XPy864A09ug,"Got delivery - was harassed by the delivery person for a tip. ""What no tip?"" is what he said to my partner as he almost withheld our food that was already...",2020-02-15 09:39:03
2,bb4TLfMexv3XPy864A09ug,"ordered everything bagel, scarlion cc, about 6 bucks.

the bagel was ok, a bit chewy, lighly salted, little bit of the ""everything"" (sesame, dried onion,...",2020-02-10 19:25:10
0,2D7orDrXzflLL1TRmWGPMw,"Utopia Bagels is THE bagel place to come in Queens...perhaps even in all of NYC.  I've had many many bagels in New York City, I've had 30+ years of bagel...",2020-02-18 09:00:48
1,2D7orDrXzflLL1TRmWGPMw,"I was on the lookout for a bagel place that served a decent lox bagel and lo and behold, I found this place! It was very crowded on the day I went but...",2020-02-02 14:34:33
2,2D7orDrXzflLL1TRmWGPMw,Utopia Bagels is one of my favorite bagel places! The bagels are freshly made in house. Nothing beats a crunchy crusted chewy soft bagel fresh from the...,2020-02-02 11:45:50
0,lQ7H-COT5duZQQ0XqGFPDg,"My go-to bagel place in Brooklyn! Tons of bagel, cream cheese, and topping options. I love pumpernickel bagels, and it's nice to get them here with anything...",2020-03-08 17:43:09
1,lQ7H-COT5duZQQ0XqGFPDg,"Y van r i th k by kget meg hung y ng nk by k mmm ya ya. Kindly by pz SC ppf  bk HMMM IMO JI . Hey screw t te c sac xcx wase. 
M
 H d. CFC",2020-02-27 09:47:00
2,lQ7H-COT5duZQQ0XqGFPDg,I've stayed near this area the last few times I've visited NYC and thus Smith St Bagels is typically my go-to. It's one of the few bagel places in the  area...,2020-01-02 16:37:29
0,VImctKXnwzT_zrsc1ssvbg,"WHAT IS MY PROBLEM?! I don't know why I rated BK Bagel to four stars and over the course of my many, many, many subsequent visits did I not upgrade it?!...",2020-03-14 17:44:32
1,VImctKXnwzT_zrsc1ssvbg,"Wife and I ordered two everything bagels with chicken salad for lunch. That same evening we both had terribly upset stomachs, gas, bloating and nausea....",2020-04-08 18:30:41
2,VImctKXnwzT_zrsc1ssvbg,"Best bagels ever. HOWEVER, there should be a policy based on how long people can sit at a table on a busy Saturday and Sunday morning when there's a LINE of...",2020-03-07 14:59:23
0,7HP9pH30Ha7xJsxsdVJBrg,"I love these bagels! I never get sandwiches or drinks here, I just bring home fresh, whole bagels to make my own sandwiches. The bagels are always the...",2020-02-08 15:34:48
1,7HP9pH30Ha7xJsxsdVJBrg,Bagelsmith is yet another place for bagels. It does them Williamsburg style. That means they're average tasting and cost as if they're excellent tasting. A...,2020-01-20 18:41:05
2,7HP9pH30Ha7xJsxsdVJBrg,you charged me $11 for this?? You charge an additional $8.25 for THIS much lox - a single slice! and only one side of cream cheese? on a mini bagel that you...,2019-12-11 07:43:56
0,PiAU4BCl5d9P-NWDvkNY4A,"Quintessential Brooklyn bagels! 
Fresh
Soft
Big
Buttery
I always grab a half dozen to go.",2020-02-16 19:13:46
1,PiAU4BCl5d9P-NWDvkNY4A,"Ridiculously overpriced! We got two everything bagels with cream cheese, capers, lox, onions, and tomatoes... Our total came out to $28!! The food itself is...",2020-03-12 09:28:59
2,PiAU4BCl5d9P-NWDvkNY4A,"Deliciousness!!! 

I love this place Too quality bagels!!!!!

Sésami bagel with lox perfecto",2020-01-09 07:00:06
0,s-Fg5eHqv4VCAn2ANkHiZA,This is my favorite bagel place by work!! There's usually a line but the line goes by fairly quickly. The workers are pretty nice but are understandably...,2020-03-17 19:08:17
1,s-Fg5eHqv4VCAn2ANkHiZA,"Was surprised to see such a long line outside of this bagel shop today, but glad people are making it out to get their Sunday morning bagel fix-in. 

While...",2020-02-23 12:12:42
2,s-Fg5eHqv4VCAn2ANkHiZA,"The line maybe long, but it goes by fast. I decided to give the bagel a try today I always see how packed it is and it got me curious, LOL. 

Their bagels...",2020-02-04 09:49:59
0,tJWQnagxMYkFZXKrdiO3gg,"This is one of the best bagel spots -- period. The staff is quick, the bagels are fresh, and everything in general is very inexpensive. This is the only...",2019-11-21 03:57:29
1,tJWQnagxMYkFZXKrdiO3gg,"3.5 stars is right for this place, as it wavers between 4.5 and 3 stars. If you come at the right time, usually a weekend morning, the bagels are hot and...",2020-02-23 09:59:21
2,tJWQnagxMYkFZXKrdiO3gg,"Overrated 

Overrated 

Overrated

Processed meats 

Gross tuna salad

Gross chicken salad 

Gross white fish salad 

Not authentic 

Go to Russ & Daughters...",2020-02-16 07:46:21
0,0rQz8mkleT62eUkiAVs4UA,The wait was SUPER LONG!! We were able to go around and explore the area before our table was ready. I really love the idea how all the ingredients come in...,2020-04-06 18:58:53
1,0rQz8mkleT62eUkiAVs4UA,"LOVE!!! I love bagels but have a hard time finding something good because I don't eat dairy, but Russ & Daughters had a great dairy-free tofu cream cheese...",2020-03-23 18:53:34
2,0rQz8mkleT62eUkiAVs4UA,"My first R+D experience was at the deli back in 2016 and I absolutely loved it. I had no idea they had a cafe, so when my friends and I made our way to the...",2020-03-23 12:25:36
0,1s95hIhSQhLroVtp-4uOtw,"Ok so Russ and Daughters is my gold standard for lox and bagels, was meeting some old friends at Shark Bar for bagels and beers and went to russ, well...",2019-10-12 14:20:38
1,1s95hIhSQhLroVtp-4uOtw,"I don't think Black Seed Bagels is the worst, but I have definitely had better bagels in NYC than here. The prices are average to high, but for some reason,...",2020-02-09 18:33:15
2,1s95hIhSQhLroVtp-4uOtw,"Of the few times visiting Black Seed I've found the sesame bagel (my go to) quite tasty. 

Really loved the special Longanisa and fried egg on an everything...",2019-11-24 19:51:35
0,UgTfFaQ_NAyne5OwLtTpXQ,"I wish Bagels & Schmear was on grubhub, but I get why they're not. That said, they're part of the reason I keep cash on hand during times of pandemic, or...",2020-03-28 07:17:25
1,UgTfFaQ_NAyne5OwLtTpXQ,Now is as good of time as ever to catch up on reviews I've been meaning to write for quite sometime and Bagels & Schmear has been hanging in my drafts box...,2020-03-20 11:03:45
2,UgTfFaQ_NAyne5OwLtTpXQ,I was really hyped about this place because I don't remember the last time I had a bagel in Manhattan so I was excited to see this place close to where I...,2020-03-03 14:12:08
0,rdgOCFe30sIaAo6tkXkJ-A,"It had been way too long since I'd had a bagel from Brooklyn. They do seem a bit smaller and a bit more expensive these days, but that's a product of the...",2020-01-06 07:14:56
1,rdgOCFe30sIaAo6tkXkJ-A,"Not good 

Don't believe the hype 

Go to Russ & Daughters for authenticity 

Pass on this place",2020-02-23 16:53:09
2,rdgOCFe30sIaAo6tkXkJ-A,"Skip this place, I paid $17 for a tiny sandwich that was subpar. 

It is insulting that they would charge all that money for very little.

Given the...",2019-11-14 09:35:50
0,PWDSfW-c8198UegLtaTR1A,"Russ & Daughters have some of my favorite classic bagel & lox spreads. They are an institution of the city, and this newly opened location in the Navy Yard...",2020-01-14 08:30:03
1,PWDSfW-c8198UegLtaTR1A,I'm sorry to say I had a terrible experience with Betsey.   I had wrote my order out to save them time and effort of writing it down.  I wanted 8 Oz of...,2019-12-24 13:23:24
2,PWDSfW-c8198UegLtaTR1A,"A lot of reviews from ill-informed tourists not well versed in smoke fish or bagels. 

The truth is they have amazing bagels, smoked fish and cream cheese...",2019-12-10 07:35:23
0,XKWvRI7WI4LotDLUboUUGA,"The legend does not disappoint. This is as legitimate a NYC cultural landmark as any museum -- perfectly evocative of a people and an era.  

Down to brass...",2020-01-30 15:41:25
1,XKWvRI7WI4LotDLUboUUGA,"Expensive, mediocre, and cash only. They don't even have an ATM inside to help you out. 

Went here on a brunch date. We went here because its super popular...",2020-02-25 18:48:34
2,XKWvRI7WI4LotDLUboUUGA,"On Christmas Day, Barney Greengrass is virtually the only place open for business on the Upper West Side. That's good news for a Jew and her Asian boyfriend...",2019-12-26 07:00:08
0,SSMCUb9erxbOkz6XUgHfKA,"If you find yourself in Dekalb Market Hall in the morning,* this is one of only a few vendors that are open. Your choices are basically coffee, pastries,...",2019-01-10 05:55:38
1,SSMCUb9erxbOkz6XUgHfKA,"Good bagels, very good schmear. The poppy bagels and sesame bagels are tasty, the jalapeño cream cheese is not to my liking but very fresh ingredients (not...",2020-01-28 17:27:23
2,SSMCUb9erxbOkz6XUgHfKA,"I was in a rush looking to grab a quick bite for breakfast, so I decided to stop by this bagel stand. Unlike Andrew's burger stand (which is diagonal from...",2019-03-17 14:00:22
0,i6UIu3QC2aESANgOR9aycA,"Holy moly is Lula a score. I originally stopped in because they have a Print With Me machine, but Serious Heavenly Bagel Vibes persuaded me to stay for a...",2020-01-12 08:43:50
1,i6UIu3QC2aESANgOR9aycA,"Honestly, I wish another decent bagel spot would open up in the neighborhood because Lula is truly subpar. 

I've been coming here purely due to convenience...",2020-03-31 17:41:15
2,i6UIu3QC2aESANgOR9aycA,"Fresh pastries, large drink menu and a darn good bagel to start your day...whenever that is (they close at 7.)
Great service. WiFi. Might be a line- but...",2020-02-08 07:53:44
0,6XX2Ytf8nYqh8dRhz9Kk_g,"I work across the street from Mike's Bagels, so I feel extremely blessed to be in such close proximity to this small bagel shop most days of the week. When...",2020-02-19 15:39:38
1,6XX2Ytf8nYqh8dRhz9Kk_g,Good chewy bagels that are cheap. $1 each. I don't think they're the best bagels I've had in NY or anything (the competition is pretty tough)! They don't...,2019-12-05 13:00:06
2,6XX2Ytf8nYqh8dRhz9Kk_g,"Got a bagel from here for the first time today, and let me tell you, it was damnnnn good. I ordered a garlic bagel toasted with lox cream cheese. The order...",2020-01-31 18:05:45
0,2buX7P8YIqcrHSKtqwm92g,"I'd absolutely go back here. The lox pastrami is unique and delicious. I had a sesame bagel with chive cream cheese, lox, onion and tomatoe. It was exactly...",2020-01-26 17:02:09
1,2buX7P8YIqcrHSKtqwm92g,"Sweet customer service by the two ladies at the counter, but the bialy with cream cheese was so underwhelming! I was expecting the best I've had in a while,...",2020-02-13 04:20:52
2,2buX7P8YIqcrHSKtqwm92g,I have been living on the Lower East Side for over 40 years. And I have been a customer of Kossar's for the same length of time. i arrived at the shop...,2020-01-27 08:56:46
0,BIFbVuIDJFS_2u_8vJxnwA,"My previous review was 3 stars, given that the order via Grubhub was not correct. The owner Chris reached out to me and explained that the communication...",2019-10-01 11:11:11
1,BIFbVuIDJFS_2u_8vJxnwA,It was essential that we get a real New York bagel on our trip and this place was a stones throw from our hotel and had good reviews so we gave it a...,2019-10-24 15:29:00
2,BIFbVuIDJFS_2u_8vJxnwA,AWESOME bagels and beautiful cream cheese selection. They do accept card now as well. I think I went three times the week I found it. I'd have to go 100...,2019-10-20 16:45:38
0,WBNXo3byv64a0hn40c9Zuw,Best bagels in BK Heights! I've never had an issue with wait time / service. Go to for Saturday mornings!,2020-02-29 07:23:39
1,WBNXo3byv64a0hn40c9Zuw,Great bagels and sandwiches. Please turn off FOX news. No one wants to watch that crap.,2019-12-26 09:20:57
2,WBNXo3byv64a0hn40c9Zuw,Easily the worst service I've ever experienced at a bagel store. It took about 25 minutes for an egg and cheese. In that time I saw 2 different people...,2020-01-12 08:22:04
0,PIn-UUN953k8K9_Hffef6w,Fantastic spot for coffee and sandwiches. Can get packed though. They also have some solid cookies,2019-11-24 08:31:25
1,PIn-UUN953k8K9_Hffef6w,"Came here one time before. Found a hair in my bagel with cream cheese, tossed the bagel out and didn't go back for about about year. But seeing they have a...",2020-01-07 04:44:29
2,PIn-UUN953k8K9_Hffef6w,"Friendly staff and service! They have a decent assortment of cookies!! I ordered a peanut butter cookie, medium coffee and sausage, egg and cheeese on a...",2020-02-01 11:40:51
0,l6lg4lqJSkGDFE6Svl5wnw,"Best bagel in the UES!!!!
Love this local bagel shop were bagels and spreads are spectacular! 
Service is top noch, always fast and friendly!

Will...",2020-04-04 13:01:37
1,l6lg4lqJSkGDFE6Svl5wnw,"My coworker told me about this place. I came on Wednesday 3/11 and Thursday 3/12.

My 1st time I had an Everything Bagel and Scallion CC. Great, yum...",2020-03-13 06:45:47
2,l6lg4lqJSkGDFE6Svl5wnw,"Our Saturday morning to-go place
Be prepared to stand in line. 

Sooo good! 
My most favorite - lox bagel",2020-02-10 10:53:22
0,FkBFKwF9bDl3BCt3vebHbw,This place is a hidden gem. Fried lux bagel is a go-to and a small but fantastic selection of other options. Highly recommend,2019-09-21 06:16:16
1,FkBFKwF9bDl3BCt3vebHbw,"This is not your regular bagel place.

Located just a few blocks from the Marcy Ave stop sits this bagel place just on the outskirts of the Hasidic...",2018-11-09 13:25:16
2,FkBFKwF9bDl3BCt3vebHbw,Always freshly baked bagels with excellent ingredients and friendly people behind the counter.  Unlike other places there's never a line here.  Many...,2019-03-07 07:13:45
0,P91q647NhgyIf7nLc4wYsQ,"When your boss asks you if you want a free lunch from Frankel's, you just say yes - but try not to look too desperate.  Their pastrami on rye with mustard...",2019-10-11 13:34:53
1,P91q647NhgyIf7nLc4wYsQ,"Maybe I got unlucky with the meat carving. Maybe I'm an uneducated pleb have bad taste in cured meats. Regardless, I didn't like the pastrami.
I don't know,...",2019-12-11 20:51:37
2,P91q647NhgyIf7nLc4wYsQ,Delish mini Jewish delicatessen in Greenpoint serving up some good pastrami eats! Come here early to avoid the line that usually turns the corner and bring...,2019-10-30 09:42:26
0,XTa5infpecABoyLZ86EH2w,"OMG OMG OMG OMG OMG!
The line is out the door and there's a reason for that. Damn good bagels. Warm, soft and chewy. I had a sesame bagel with whitefish...",2020-03-01 21:28:02
1,XTa5infpecABoyLZ86EH2w,Definitely be sure to make a stop here if you're ever in the city near the NYU area! (and obviously if you're a student you have to try it if you haven't...,2020-02-19 13:07:48
2,XTa5infpecABoyLZ86EH2w,"I haven't visited a lot of bagel shops in New York, so I'll prefice this review with that statement. And maybe I had my expectations set high based on all...",2020-02-07 06:05:28
0,n8AfzNmqZUfXZzHtieea_A,I usually stop by here now and again when I am in the area for my yoga class. The shop is quite small so I don't make plans to sit and eat. Typically I am...,2020-01-06 16:04:39
1,n8AfzNmqZUfXZzHtieea_A,"What an unrelenting establishment. Last time I was here they gave me the complete wrong order, which I was allergic too, and now they said they can't give...",2020-02-14 05:37:20
2,n8AfzNmqZUfXZzHtieea_A,"Before walking into this place, I had to stop by a Starbucks for a grande because Murray's coffee is horse urine. That said, their bagels are pretty decent,...",2020-02-07 19:30:29
0,m6FV9h1mMJ9_LZetNOjNjg,"Amazing bagels - it's true what they say, NYC bagels are as good as you get. 

Food: those bagels ... wow - crispy on the outside, fluffy and soft on the...",2020-02-09 19:13:49
1,m6FV9h1mMJ9_LZetNOjNjg,"Got my lox bagel fix in the best shape and form here at Bagelworks NYC! Making fresh bagels all morning when I walked in, one strip of a hallway for patrons...",2019-12-23 17:52:29
2,m6FV9h1mMJ9_LZetNOjNjg,"Great Bagels!  This is truly what I look forward to every time back in the city.  And, Bagelworks is my top choice in area.  The look, the touch, the smell,...",2019-12-12 07:25:23
0,Xs8jqmmjqm0foupgGFBO_w,"If you are in Queens this is a MUST. While visiting a friend, I was so happy to find somewhere with gluten-free bagels that was not in Manhattan. This is...",2020-02-09 13:21:32
1,Xs8jqmmjqm0foupgGFBO_w,This bagel shop is absolutely amazing. I don't know what else there is besides the bagels with spread but whenever I crave breakfast (and i'm not a...,2020-03-10 17:30:44
2,Xs8jqmmjqm0foupgGFBO_w,"I love New York City bagels. Like our classic pizza slices, even the more pedestrian among them stand head and shoulders over their counterparts in other...",2020-02-13 12:47:24
0,64i-2H8rLLs55RP89Ole4A,I loved this place! The area is really nice too. The space is a little tight if you're expecting to be able to sit down. The menu is crazy they have...,2020-02-08 12:00:41
1,64i-2H8rLLs55RP89Ole4A,Bagel Pub is a good spot if you're in the area. When I lived in NY I took my buddy to my favorite neighborhood bagel spot and now that that roles are...,2020-03-14 00:13:43
2,64i-2H8rLLs55RP89Ole4A,"Wow! I didn't get the NY bagel hype until I had one. That NY tap water magic! 

We've had 2 bagel visits during our latest trip to the City and the bagel...",2020-01-11 20:11:47
0,fZYymv8linCo2id7wIokwQ,"To toast of not to toast?  According to a NY Times article, the Mayor, Bill De Blasio crossed into treacherous territory when he said his go-to bagel was...",2020-03-15 17:46:07
1,fZYymv8linCo2id7wIokwQ,"I wanted to try out a different bagel shop in my area, so I decided it would be Bagel Boy. It was pretty crowded inside, but they had many workers and...",2020-02-02 08:08:17
2,fZYymv8linCo2id7wIokwQ,"Quick, pleasant, and tasty    This place is like a small  eating spot, with bagels, sandwiches, salads, coffee, and other drinks. 
Service was fast (despite...",2019-11-22 07:20:44
0,Rc9_uzaTwqFTG1LGlbTPxQ,"Of all the locations that NYC Bagel and Coffee House have in Astoria, this is the most convenient when in the Steinway section of the neighborhood, closest...",2020-02-27 01:43:37
1,Rc9_uzaTwqFTG1LGlbTPxQ,I've been here 2 sundays in a row.  It's very hit and miss.  Last week I bought An everything bagel and an apple muffin.  I thought the Bagel was one of the...,2020-03-15 07:10:01
2,Rc9_uzaTwqFTG1LGlbTPxQ,"This bagel chain is pretty chill, I have been to this one in particular a couple of times .. I usually get something different from the menu.. everything is...",2020-01-01 09:07:32
0,w8eAlTI-8pbVecPsWMrEMw,"I love Baked in Brooklyn. Its such a refreshing addition to the neighborhood, as it bring fresh baked, delicious and AFFORDABLE specialty items to Sunset...",2020-02-22 10:53:59
1,w8eAlTI-8pbVecPsWMrEMw,Super enjoyable bake shop with bakers in an open kitchen baking fresh items. A few stools lets travelers have a seat and enjoy their stay looking out the...,2020-01-22 12:18:45
2,w8eAlTI-8pbVecPsWMrEMw,"Nice place- but having no bathroom is a real disservice to clients who want to drink coffee and linger awhile!!!
So much space they can surely accommodate...",2019-12-26 14:37:36
0,T-JA9h3BIZfFNvjwHAAj9Q,"As a native New Yorker I vote for Terrace Bagels as some of the best in the city. Fat, crispy on the outside and perfect on the inside. This is a NYC gem. I...",2020-02-15 04:06:35
1,T-JA9h3BIZfFNvjwHAAj9Q,"Still not the sharpest tacks in the bagel bin! 
Seriously???? How hard is it to scoop a bagel (nope, they forgot that), toast it (nope, they forgot that...",2019-11-17 10:52:48
2,T-JA9h3BIZfFNvjwHAAj9Q,"I had a good takeout breakfast at Terrace Bagels. I chose Lox for my sandwich. The bagel with lox, tomatoes, onions, capers and cream cheese was just good,...",2020-03-25 07:18:19
0,Fx_zqaXVgc8BzwIfcbEKkw,"I finally made it priority this morning to go over and try a few bagels. Yes they have all the favorites, but the selection of fun alternatives makes it...",2020-01-26 09:10:06
1,Fx_zqaXVgc8BzwIfcbEKkw,"Blueberry bagel - It's ok that I ordered this cuz I'm not a New Yorka, right? One of the elusive bagel flavors that also happens to be amazing here. The...",2020-03-01 11:33:39
2,Fx_zqaXVgc8BzwIfcbEKkw,"Honestly, some of the best bagels I've had in my time.
Ive been thinking about the avocado egg and cheese bagel since I ordered it last week.
The eggs were...",2020-01-25 06:46:36
0,H6NbVY8wxBL916q3GXBdVg,"Amazing spot for a real NY Bagel. I got the bacon bagel, and then I also got the special pumpkin spice bagel with some kind of sweet cream cheese....",2019-11-26 08:53:57
1,H6NbVY8wxBL916q3GXBdVg,"People - ordered take away 
Food - 7/10
Drinks - na
Decor - na
Restrooms - (didn't use)

I ordered the chicken salad on a everything bagel and overall it...",2020-01-18 09:51:38
2,H6NbVY8wxBL916q3GXBdVg,"Food is amazing, service outstanding.  Visiting from DC, Highly recommend Tasty Bagel.",2019-10-28 06:33:03
0,7pqZ3lpAtinvJ6QKOzSXxg,"A decent bagel shop. I have gotten a bacon, egg, and cheese on an everything bagel which is made as you would expect it to be. I've also gotten the lox...",2019-11-14 18:43:24
1,7pqZ3lpAtinvJ6QKOzSXxg,"Bagels here are perfect! I've gotten the lox with cream cheese on an everything bagel twice, and there's no question I would come back again. Bagels are...",2019-08-12 19:54:42
2,7pqZ3lpAtinvJ6QKOzSXxg,amazing food !! perfect place for your everyday breakfast. bagels taste great & sandwiches are scrumptious !,2020-03-19 15:17:11
0,psx14GCq03cuRCWJIs0CuQ,"My friend called me super early at about eight this morning and said he had to drop something off at my house.  When I asked what it was, he replied it was...",2020-04-09 00:00:05
